Geneid	Chr	Start	End	Strand	Length	gene_name
ENSG00000168297.16	chr3	58332880	58426127	+	93248	PXK
ENSG00000275607.1	chr3	58379217	58379525	-	309	RP11-802O23.4
ENSG00000168291.13	chr3	58427630	58433857	-	6228	PDHB
ENSG00000272182.1	chr3	58428255	58428815	+	561	RP11-802O23.3
ENSG00000272360.1	chr3	58490830	58491291	-	462	RP11-359I18.5
ENSG00000168301.13	chr3	58492096	58502360	+	10265	KCTD6
ENSG00000168306.13	chr3	58505136	58537283	-	32148	ACOX2
ENSG00000236722.1	chr3	58511310	58511676	+	367	RP11-359I18.1
ENSG00000168309.18	chr3	58564117	58627610	-	63494	FAM107A
ENSG00000243384.1	chr3	58572744	58574319	+	1576	RP11-475O23.2
ENSG00000244383.2	chr3	58607080	58644491	+	37412	FAM3D-AS1
ENSG00000198643.7	chr3	58633946	58666834	-	32889	FAM3D
ENSG00000163689.20	chr3	58717365	59050084	-	332720	CFAP20DC
ENSG00000242428.6	chr3	58824437	59019093	+	194657	CFAP20DC-AS1
ENSG00000243295.2	chr3	59050164	59754808	+	704645	CTD-2185K10.1
ENSG00000243903.1	chr3	59380024	59388704	-	8681	RP11-285B24.1
ENSG00000242545.1	chr3	59464330	59510678	-	46349	RP11-719N22.2
ENSG00000241804.1	chr3	59535863	59536415	+	553	RP11-719N22.1
ENSG00000277592.1	chr3	59584169	59584445	+	277	Metazoa_SRP
ENSG00000189283.10	chr3	59747277	61251459	-	1504183	FHIT
ENSG00000287649.1	chr3	59809269	59811310	+	2042	RP11-1035L22.1
ENSG00000240097.1	chr3	60616822	60618079	+	1258	RP11-641C17.4
ENSG00000281426.1	chr3	60617805	60617870	-	66	MIR548BB
ENSG00000232407.3	chr3	60690225	60690719	-	495	PPIAP70
ENSG00000225673.3	chr3	60730055	60730644	-	590	RP11-641C17.3
ENSG00000244183.1	chr3	60732144	60732636	-	493	PPIAP71
ENSG00000212211.2	chr3	60856389	60856605	-	217	U3
ENSG00000144724.20	chr3	61561569	62297609	+	736041	PTPRG
ENSG00000252420.1	chr3	61739127	61739229	-	103	Y_RNA
ENSG00000226360.5	chr3	61742455	61743106	-	652	RPL10AP6
ENSG00000252184.1	chr3	62118300	62118510	-	211	RNU2-10P
ENSG00000237456.3	chr3	62124204	62124608	-	405	ID2B
ENSG00000241472.7	chr3	62221249	62369406	-	148158	PTPRG-AS1
ENSG00000114405.11	chr3	62319015	62336213	+	17199	C3orf14
ENSG00000153266.13	chr3	62369681	62374324	-	4644	FEZF2
ENSG00000163618.18	chr3	62398346	62875416	-	477071	CADPS
ENSG00000225662.2	chr3	62779176	62779785	-	610	RP11-1036F1.1
ENSG00000244632.3	chr3	62796124	62796419	-	296	RN7SL863P
ENSG00000252449.1	chr3	62814382	62814491	+	110	RNU6-139P
ENSG00000226082.2	chr3	62926371	62926882	+	512	RP11-24H1.1
ENSG00000244342.5	chr3	62950430	63125062	+	174633	LINC00698
ENSG00000242841.1	chr3	63096374	63097711	-	1338	KRT8P35
ENSG00000240359.1	chr3	63203218	63203448	-	231	UBL5P3
ENSG00000163630.11	chr3	63228315	63616924	+	388610	SYNPR
ENSG00000241359.1	chr3	63423596	63550051	-	126456	SYNPR-AS1
ENSG00000252301.1	chr3	63545440	63545535	+	96	RNA5SP134
ENSG00000188817.8	chr3	63652675	63679020	+	26346	SNTN
ENSG00000224479.6	chr3	63741827	63827445	-	85619	AC136289.1
ENSG00000163632.14	chr3	63819299	63848636	+	29338	C3orf49
ENSG00000163634.12	chr3	63833870	63863868	-	29999	THOC7
ENSG00000240549.2	chr3	63860645	63861819	+	1175	THOC7-AS1
ENSG00000163635.20	chr3	63863155	64003462	+	140308	ATXN7
ENSG00000280620.1	chr3	63911518	63911772	-	255	SCAANT1
ENSG00000239653.1	chr3	64004022	64012148	+	8127	PSMD6-AS2
ENSG00000271843.1	chr3	64008082	64008692	-	611	RP11-245J9.5
ENSG00000163636.11	chr3	64010550	64024010	-	13461	PSMD6
ENSG00000243410.1	chr3	64011964	64016246	+	4283	PSMD6-AS1
ENSG00000272181.1	chr3	64019508	64019925	+	418	RP11-245J9.6
ENSG00000241111.1	chr3	64067964	64103131	+	35168	PRICKLE2-AS1
ENSG00000200222.2	chr3	64071807	64072019	-	213	U3
ENSG00000189196.4	chr3	64078361	64087363	-	9003	LINC00994
ENSG00000163637.13	chr3	64092236	64445476	-	353241	PRICKLE2
ENSG00000241572.1	chr3	64099273	64101122	+	1850	PRICKLE2-AS1
ENSG00000241101.1	chr3	64103470	64106056	+	2587	PRICKLE2-AS2
ENSG00000239926.1	chr3	64174401	64175147	+	747	PRDX3P4
ENSG00000226017.2	chr3	64187544	64200965	+	13422	PRICKLE2-AS3
ENSG00000244564.2	chr3	64445231	64456070	+	10840	PRICKLE2-DT
ENSG00000212340.1	chr3	64511755	64511857	+	103	RNU6-739P
ENSG00000163638.13	chr3	64515654	64688000	-	172347	ADAMTS9
ENSG00000241158.7	chr3	64561322	64592757	+	31436	ADAMTS9-AS1
ENSG00000241684.6	chr3	64684909	65053439	+	368531	ADAMTS9-AS2
ENSG00000243149.2	chr3	65174916	65193509	+	18594	LINC02040
ENSG00000151276.23	chr3	65353525	66038834	-	685310	MAGI1
ENSG00000270059.1	chr3	65359268	65359717	-	450	RP11-88H12.2
ENSG00000244226.1	chr3	65687301	65688468	+	1168	ILF2P1
ENSG00000223409.1	chr3	65843890	65844446	+	557	RPL17P17
ENSG00000272610.1	chr3	65872815	65954558	-	81744	MAGI1-IT1
ENSG00000240175.1	chr3	65893816	65925297	+	31482	MAGI1-AS1
ENSG00000202071.1	chr3	66003839	66003940	-	102	Y_RNA
ENSG00000203647.2	chr3	66008770	66009200	-	431	RP11-320P11.1
ENSG00000144741.18	chr3	66133610	66388116	+	254507	SLC25A26
ENSG00000206759.1	chr3	66293114	66293220	-	107	RNU6-787P
ENSG00000241587.3	chr3	66323855	66324152	+	298	RN7SL482P
ENSG00000144749.14	chr3	66378797	66501263	-	122467	LRIG1
ENSG00000271174.1	chr3	66622760	66623102	-	343	RP11-814M22.2
ENSG00000214560.4	chr3	66637149	66637412	+	264	RPL21P41
ENSG00000288039.1	chr3	66780076	66824439	-	44364	RP11-24O17.2
ENSG00000285738.1	chr3	66794041	66796921	+	2881	RP11-24O17.1
ENSG00000287873.1	chr3	66997168	66998020	-	853	RP11-15B4.2
ENSG00000163376.11	chr3	66998307	67011210	+	12904	KBTBD8
ENSG00000283298.1	chr3	67225464	67225527	+	64	MIR4272
ENSG00000241884.2	chr3	67296300	67306359	+	10060	RP11-85I21.1
ENSG00000172340.15	chr3	67360460	67654612	-	294153	SUCLG2
ENSG00000242510.1	chr3	67513940	67514320	+	381	NDUFB4P1
ENSG00000241316.8	chr3	67654669	67947713	+	293045	SUCLG2-AS1
ENSG00000183662.11	chr3	68004247	68545621	+	541375	TAFA1
ENSG00000214552.4	chr3	68145004	68145630	+	627	COPS8P2
ENSG00000240568.1	chr3	68192398	68192580	+	183	RP11-1008M1.1
ENSG00000286967.1	chr3	68500613	68505873	+	5261	RP11-253K11.1
ENSG00000244640.1	chr3	68633706	68634356	-	651	RP11-436J20.1
ENSG00000241506.1	chr3	68635705	68637024	+	1320	PSMC1P1
ENSG00000163377.16	chr3	68731766	68953297	-	221532	TAFA4
ENSG00000252828.1	chr3	68882967	68883091	+	125	RNA5SP135
ENSG00000163378.14	chr3	68975217	69013684	-	38468	EOGT
ENSG00000244513.7	chr3	69013941	69056622	+	42682	CTD-2013N24.2
ENSG00000144747.17	chr3	69019827	69052339	-	32513	TMF1
ENSG00000265355.1	chr3	69048958	69049035	-	78	MIR3136
ENSG00000144744.17	chr3	69054730	69080408	-	25679	UBA3
ENSG00000144746.7	chr3	69084937	69106092	+	21156	ARL6IP5
ENSG00000163380.16	chr3	69106065	69123032	-	16968	LMOD3
ENSG00000114541.15	chr3	69168782	69542583	-	373802	FRMD4B
ENSG00000239263.1	chr3	69471452	69472532	-	1081	RBM43P1
ENSG00000240265.1	chr3	69535664	69536693	-	1030	RP11-62G11.1
ENSG00000240842.2	chr3	69564106	69571172	-	7067	RP11-62G11.2
ENSG00000241667.1	chr3	69591341	69593121	+	1781	RP11-444P10.1
ENSG00000187098.17	chr3	69739464	69968336	+	228873	MITF
ENSG00000241665.3	chr3	69769487	69769773	-	287	RN7SL418P
ENSG00000240405.7	chr3	69999550	70518064	+	518515	SAMMSON
ENSG00000271034.1	chr3	70125070	70126609	-	1540	RP11-963H1.1
ENSG00000242728.1	chr3	70140217	70140488	+	272	UQCRHP4
ENSG00000242120.4	chr3	70194479	70312638	-	118160	MDFIC2
ENSG00000288679.1	chr3	70613598	70617661	+	4064	RP11-118O11.2
ENSG00000287669.1	chr3	70617766	70620325	+	2560	RP11-118O11.1
ENSG00000240156.1	chr3	70751123	70751350	+	228	COX6CP6
ENSG00000243873.1	chr3	70753854	70754573	+	720	HMGB1P36
ENSG00000206939.1	chr3	70808350	70808452	+	103	RNU6-281P
ENSG00000114861.23	chr3	70954708	71583989	-	629282	FOXP1
ENSG00000285708.1	chr3	70959226	71754229	-	795004	RP11-79P21.2
ENSG00000244203.2	chr3	71289769	71305853	+	16085	FOXP1-AS1
ENSG00000221264.1	chr3	71541970	71542089	-	120	MIR1284
ENSG00000274387.1	chr3	71567863	71571112	+	3250	RP11-154H23.5
ENSG00000242094.1	chr3	71570255	71574457	-	4203	FOXP1-IT1
ENSG00000277855.1	chr3	71581721	71628558	+	46838	RP11-154H23.4
ENSG00000270562.1	chr3	71584943	71587409	+	2467	RP11-154H23.3
ENSG00000163412.13	chr3	71675414	71754773	-	79360	EIF4E3
ENSG00000170837.3	chr3	71753855	71756496	+	2642	GPR27
ENSG00000163421.9	chr3	71771655	71785206	-	13552	PROK2
ENSG00000287131.1	chr3	71785428	71786425	+	998	RP11-321A23.3
ENSG00000239250.3	chr3	71827177	71827471	+	295	RN7SL271P
ENSG00000241163.8	chr3	71943592	72279503	-	335912	LINC00877
ENSG00000244130.1	chr3	72006774	72006975	+	202	UBE2Q2P9
ENSG00000273461.5	chr3	72061061	72069933	+	8873	RP11-398A8.4
ENSG00000276471.1	chr3	72080564	72084641	-	4078	RP11-398A8.5
ENSG00000239350.2	chr3	72085109	72085287	+	179	RP11-398A8.2
ENSG00000242609.1	chr3	72086888	72087725	+	838	CCDC137P
ENSG00000243083.7	chr3	72151236	72207776	+	56541	LINC00870
ENSG00000272774.1	chr3	72178279	72178810	+	532	RP11-433A10.3
ENSG00000242618.2	chr3	72202944	72209914	-	6971	RP11-433A10.2
ENSG00000287882.1	chr3	72301616	72319429	-	17814	RP11-447M4.2
ENSG00000260670.1	chr3	72321051	72324027	-	2977	RP11-447M4.1
ENSG00000163602.11	chr3	72371825	72446623	-	74799	RYBP
ENSG00000244345.1	chr3	72504806	72550552	-	45747	RP11-654C22.2
ENSG00000199469.1	chr3	72576691	72576854	+	164	RNU1-62P
ENSG00000239568.1	chr3	72583370	72583535	+	166	RP11-654C22.1
ENSG00000222838.1	chr3	72691705	72691811	-	107	RNA5SP136
ENSG00000287595.1	chr3	72738918	72740525	+	1608	RP11-624D20.3
ENSG00000144736.14	chr3	72749277	72861914	-	112638	SHQ1
ENSG00000241537.1	chr3	72772539	72773471	+	933	RP11-624D20.1
ENSG00000240135.1	chr3	72876737	72878102	-	1366	PSMD12P1
ENSG00000271266.1	chr3	72884234	72884679	+	446	LAPTM4BP2
ENSG00000172986.13	chr3	72888046	72998138	+	110093	GXYLT2
ENSG00000276890.1	chr3	72926955	72927237	-	283	Metazoa_SRP
ENSG00000242960.1	chr3	72929044	72929593	+	550	FTH1P23
ENSG00000163605.15	chr3	72996803	73069198	+	72396	PPP4R2
ENSG00000238959.1	chr3	73027808	73027873	+	66	RNU7-19P
ENSG00000255423.1	chr3	73061659	73063337	+	1679	EBLN2
ENSG00000252651.1	chr3	73092148	73092257	-	110	RNU6-557P
ENSG00000223247.1	chr3	73110992	73111182	+	191	RNU2-64P
ENSG00000182921.9	chr3	73182501	73183291	-	791	CCDC75P1
ENSG00000252937.1	chr3	73241789	73241896	-	108	RNU6-1270P
ENSG00000121440.15	chr3	73382431	73624941	-	242511	PDZRN3
ENSG00000239119.1	chr3	73593940	73594002	-	63	RNU7-119P
ENSG00000239677.6	chr3	73621713	73626796	+	5084	PDZRN3-AS1
ENSG00000278934.1	chr3	73624410	73627626	+	3217	CTD-2006M22.2
ENSG00000242364.1	chr3	73648399	73648807	-	409	RP11-451J24.1
ENSG00000242741.2	chr3	73805754	73902960	+	97207	LINC02005
ENSG00000278554.1	chr3	73959642	73959927	-	286	Metazoa_SRP
ENSG00000239454.1	chr3	73999805	74005609	+	5805	LINC02047
ENSG00000223738.3	chr3	74101349	74103553	+	2205	RP11-781E19.1
ENSG00000213452.4	chr3	74135959	74136892	+	934	AKR1B1P2
ENSG00000113805.8	chr3	74262568	74521140	-	258573	CNTN3
ENSG00000241022.1	chr3	75084155	75085237	+	1083	NIPA2P2
ENSG00000242638.3	chr3	75182754	75183048	-	295	RN7SL294P
ENSG00000266780.1	chr3	75214476	75214549	+	74	MIR4444-2
ENSG00000287398.1	chr3	75214510	75240770	+	26261	RP11-642N14.4
ENSG00000213300.5	chr3	75214631	75215636	+	1006	HNRNPA3P6
ENSG00000228868.3	chr3	75328549	75339071	-	10523	MYLKP1
ENSG00000243674.1	chr3	75347833	75348787	-	955	OR7E66P
ENSG00000179799.9	chr3	75356437	75362268	-	5832	OR7E22P
ENSG00000230655.3	chr3	75370448	75371342	-	895	OR7E55P
ENSG00000244699.1	chr3	75384059	75391810	-	7752	RP11-803B1.2
ENSG00000240665.1	chr3	75395188	75395320	+	133	LSP1P2
ENSG00000242953.1	chr3	75395404	75395536	-	133	RP11-803B1.3
ENSG00000238278.3	chr3	75415070	75422143	+	7074	ALG1L6P
ENSG00000244026.6	chr3	75421552	75435110	-	13559	FAM86DP
ENSG00000272690.6	chr3	75435232	75538029	+	102798	LINC02018
ENSG00000239959.1	chr3	75446769	75491202	-	44434	ENPP7P2
ENSG00000243794.1	chr3	75521803	75522012	+	210	SNRPCP10
ENSG00000272710.2	chr3	75540049	75580199	-	40151	RP11-413E6.12
ENSG00000244674.1	chr3	75542149	75542929	-	781	RPS3AP15
ENSG00000239383.1	chr3	75590298	75590649	-	352	RP11-413E6.2
ENSG00000244222.2	chr3	75598652	75599673	-	1022	OR7E121P
ENSG00000172971.7	chr3	75619506	75623849	-	4344	UNC93B3
ENSG00000243422.2	chr3	75624275	75670156	-	45882	RPL23AP49
ENSG00000282912.1	chr3	75624899	75625188	+	290	RP11-413E6.11
ENSG00000282511.1	chr3	75629993	75634057	+	4065	CLUHP10
ENSG00000283894.1	chr3	75630763	75630858	+	96	MIR1324
ENSG00000241532.1	chr3	75653561	75654773	-	1213	AGGF1P3
ENSG00000241622.1	chr3	75658534	75659014	+	481	RARRES2P1
ENSG00000172969.8	chr3	75664328	75667220	+	2893	FRG2C
ENSG00000236138.4	chr3	75668931	75670185	+	1255	DUX4L26
ENSG00000242516.2	chr3	75672300	75742048	+	69749	LINC00960
ENSG00000227124.11	chr3	75678660	75785583	-	106924	ZNF717
ENSG00000266396.1	chr3	75738280	75738363	+	84	MIR4273
ENSG00000185008.17	chr3	75906695	77649964	+	1743270	ROBO2
ENSG00000222883.1	chr3	75964980	75965069	-	90	Y_RNA
ENSG00000240809.1	chr3	76434018	76435428	+	1411	CAP1P1
ENSG00000199520.1	chr3	77092057	77092163	+	107	RNU6-386P
ENSG00000213450.4	chr3	77316752	77317598	-	847	VDAC1P7
ENSG00000287567.1	chr3	77567508	77571881	-	4374	RP11-342C2.2
ENSG00000206891.1	chr3	77811741	77811844	-	104	RNU6-217P
ENSG00000244461.1	chr3	78038705	78046794	-	8090	LINC02077
ENSG00000240573.1	chr3	78087404	78092270	+	4867	RP11-354H21.2
ENSG00000243957.3	chr3	78115158	78115457	+	300	RN7SL647P
ENSG00000222574.1	chr3	78161698	78161992	+	295	RN7SKP61
ENSG00000240241.5	chr3	78266940	78294731	+	27792	RP11-314M24.1
ENSG00000239226.1	chr3	78525101	78525485	+	385	MRPS17P3
ENSG00000169855.20	chr3	78597239	79767998	-	1170760	ROBO1
ENSG00000240752.1	chr3	78758974	78759374	+	401	RP11-588D3.1
ENSG00000240964.3	chr3	78938009	78938292	-	284	RN7SL751P
ENSG00000288105.1	chr3	79411714	79470827	+	59114	RP11-490P18.1
ENSG00000265193.1	chr3	79507887	79507969	+	83	MIR3923
ENSG00000243877.1	chr3	79957566	79958142	-	577	HMGB1P38
ENSG00000271389.1	chr3	80163327	80164795	+	1469	OSBPL9P1
ENSG00000239699.1	chr3	80216261	80217234	+	974	HNRNPA3P8
ENSG00000242586.1	chr3	80442081	80442305	+	225	RP11-481N16.1
ENSG00000286329.1	chr3	80602716	80677898	-	75183	RP11-783N9.1
ENSG00000242828.1	chr3	80761042	80788963	-	27922	RP11-47P18.1
ENSG00000242781.2	chr3	80764862	80789388	+	24527	LINC02050
ENSG00000243694.3	chr3	80993854	81105182	+	111329	LINC02027
ENSG00000242145.1	chr3	81208193	81208914	-	722	RP11-520D19.1
ENSG00000241593.5	chr3	81246579	81297345	-	50767	RP11-520D19.2
ENSG00000287053.1	chr3	81359739	81368191	+	8453	RP11-564P9.2
ENSG00000244281.1	chr3	81366990	81368021	-	1032	RP11-564P9.1
ENSG00000114480.13	chr3	81489703	81761645	-	271943	GBE1
ENSG00000222389.1	chr3	81509476	81509664	+	189	RNU2-28P
ENSG00000241319.1	chr3	81612238	81612805	-	568	SETP6
ENSG00000240404.2	chr3	81612790	81613075	+	286	RP11-142L1.3
ENSG00000242190.1	chr3	81762706	81764756	-	2051	RP11-142L1.1
ENSG00000242009.2	chr3	81840514	81953534	+	113021	RP11-359D24.1
ENSG00000239440.6	chr3	81986138	82463675	+	477538	LINC02008
ENSG00000241367.1	chr3	82319172	82320279	-	1108	RPL7AP23
ENSG00000241095.1	chr3	82806515	82808021	-	1507	CYP51A1P1
ENSG00000288004.1	chr3	83384445	83437728	+	53284	RP11-81D17.1
ENSG00000286567.1	chr3	83924157	83937031	-	12875	RP11-171G7.2
ENSG00000242195.1	chr3	83937045	83938236	+	1192	SRRM1P2
ENSG00000287158.1	chr3	83953639	84051419	+	97781	RP11-412N9.1
ENSG00000242641.6	chr3	84638405	84881924	-	243520	LINC00971
ENSG00000241776.1	chr3	84691681	84692591	-	911	RP11-651J20.1
ENSG00000242339.2	chr3	84881984	84893379	+	11396	LINC02025
ENSG00000287273.1	chr3	84940619	84947061	+	6443	RP11-482K2.1
ENSG00000175161.14	chr3	84958989	86074429	+	1115441	CADM2
ENSG00000264084.1	chr3	85385710	85385792	+	83	MIR5688
ENSG00000241648.1	chr3	85799987	85828050	-	28064	CADM2-AS2
ENSG00000239519.1	chr3	85992183	86028007	-	35825	CADM2-AS1
ENSG00000243915.1	chr3	86012561	86015120	+	2560	THAP12P2
ENSG00000201410.1	chr3	86125216	86125287	+	72	ENSG10010139273.1
ENSG00000251773.1	chr3	86235321	86235424	+	104	RNU6-1129P
ENSG00000239767.2	chr3	86258936	86267424	-	8489	RP11-789F5.1
ENSG00000222934.1	chr3	86362132	86362474	+	343	RN7SKP284
ENSG00000241328.1	chr3	86481943	86496996	+	15054	LINC02070
ENSG00000277746.1	chr3	86816740	86817036	+	297	RP11-43A1.1
ENSG00000206538.9	chr3	86876388	86991149	-	114762	VGLL3
ENSG00000241293.1	chr3	87051192	87052738	-	1547	PPATP1
ENSG00000281392.2	chr3	87089129	87158363	+	69235	LINC00506
ENSG00000264119.1	chr3	87226189	87226277	-	89	MIR4795
ENSG00000083937.10	chr3	87227271	87255556	+	28286	CHMP2B
ENSG00000064835.12	chr3	87259404	87276584	-	17181	POU1F1
ENSG00000239829.1	chr3	87323268	87324723	+	1456	KRT8P25
ENSG00000240902.1	chr3	87594838	87595376	+	539	APOOP2
ENSG00000240255.1	chr3	87630301	87631619	-	1319	PSMC1P6
ENSG00000239572.3	chr3	87641412	87793629	-	152218	RP11-451B8.1
ENSG00000200703.1	chr3	87742543	87742649	-	107	RNU6-873P
ENSG00000179097.7	chr3	87792706	87993839	+	201134	HTR1F
ENSG00000221059.1	chr3	87910220	87910345	+	126	RNU6ATAC6P
ENSG00000163320.12	chr3	88051944	88149885	-	97942	CGGBP1
ENSG00000288654.1	chr3	88058139	88058216	-	78	RP11-159G9.5
ENSG00000175105.8	chr3	88059255	88144660	+	85406	ZNF654
ENSG00000241535.1	chr3	88095408	88095968	-	561	CBX5P1
ENSG00000179021.10	chr3	88149959	88168729	+	18771	C3orf38
ENSG00000242159.1	chr3	88317156	88319022	+	1867	ABCF2P1
ENSG00000283434.2	chr3	88338416	88467594	+	129179	CSNKA2IP
ENSG00000207316.1	chr3	88431191	88431309	+	119	Y_RNA
ENSG00000242365.1	chr3	88601061	88601402	+	342	NDUFA5P5
ENSG00000242705.1	chr3	88948142	88950928	+	2787	ICE2P2
ENSG00000241861.2	chr3	89047442	89048434	-	993	GAPDHP50
ENSG00000044524.11	chr3	89107621	89482134	+	374514	EPHA3
ENSG00000285780.2	chr3	89283016	89314604	-	31589	RP11-784B9.1
ENSG00000240951.1	chr3	89587886	89588570	-	685	MTCO2P6
ENSG00000240309.1	chr3	89588714	89590097	-	1384	MTCO1P6
ENSG00000212598.2	chr3	90030284	90030495	+	212	U3
ENSG00000222490.1	chr3	90184634	90184733	+	100	RNU6-712P
ENSG00000189002.10	chr3	90202316	90257415	-	55100	PROS2P
ENSG00000271024.1	chr3	90261414	90261708	-	295	HSPE1P19
ENSG00000283367.1	chr3	91356755	91356914	+	160	ENSG10010139469.2
ENSG00000283544.1	chr3	91374236	91513775	-	139540	ABBA01000934.1
ENSG00000251727.1	chr3	93843764	93843862	+	99	RNU6-488P
ENSG00000184500.16	chr3	93873051	93980003	-	106953	PROS1
ENSG00000201339.1	chr3	93967926	93968020	+	95	Y_RNA
ENSG00000200366.1	chr3	93977029	93977135	+	107	RNU6-511P
ENSG00000169379.17	chr3	93980139	94055678	+	75540	ARL13B
ENSG00000239614.1	chr3	93988634	93988946	-	313	HMGN1P7
ENSG00000178750.3	chr3	94014365	94028597	-	14233	STX19
ENSG00000178700.9	chr3	94047836	94063389	-	15554	DHFR2
ENSG00000178694.10	chr3	94062980	94131832	+	68853	NSUN3
ENSG00000242457.1	chr3	94075912	94077175	-	1264	RBBP4P2
ENSG00000178660.6	chr3	94506766	94507620	-	855	ARMC10P1
ENSG00000242911.1	chr3	94935760	94936120	-	361	RP11-118N24.2
ENSG00000234629.1	chr3	94937086	94938024	-	939	WDR82P1
ENSG00000239589.7	chr3	94937980	95168351	+	230372	LINC00879
ENSG00000244048.1	chr3	95171920	95172377	+	458	RPS18P6
ENSG00000244681.1	chr3	95654423	95683193	-	28771	MTHFD2P1
ENSG00000286516.1	chr3	95916726	95919552	+	2827	RP11-12J13.1
ENSG00000271671.1	chr3	96244732	96245335	-	604	RP11-598F17.2
ENSG00000243547.1	chr3	96349554	96350939	+	1386	HNRNPKP4
ENSG00000278103.1	chr3	96359964	96360039	+	76	MIR8060
ENSG00000241815.1	chr3	96566357	96567103	+	747	RP11-124D9.1
ENSG00000199286.1	chr3	96608814	96608917	-	104	RNU6-1094P
ENSG00000269028.3	chr3	96617188	96618236	-	1049	MTRNR2L12
ENSG00000218754.4	chr3	96619304	96619831	+	528	RPL18AP8
ENSG00000241018.1	chr3	96753185	96754671	+	1487	RCC2P5
ENSG00000176243.9	chr3	96776945	96777683	+	739	CDV3P1
ENSG00000286447.1	chr3	96810838	96814407	-	3570	RP11-346M10.3
ENSG00000080224.17	chr3	96814581	97752460	+	937880	EPHA6
ENSG00000251172.1	chr3	97481177	97481506	-	330	RP11-529P9.1
ENSG00000261292.2	chr3	97759523	97761532	+	2010	RP11-389G6.3
ENSG00000113966.10	chr3	97764521	97801229	+	36709	ARL6
ENSG00000282527.1	chr3	97800733	97821884	-	21152	RP11-389G6.5
ENSG00000080200.10	chr3	97822011	97944984	+	122974	CRYBG3
ENSG00000279658.1	chr3	97836986	97874691	-	37706	RP11-389G6.4
ENSG00000170854.18	chr3	97941818	97972457	-	30640	RIOX2
ENSG00000285614.1	chr3	97973012	97975056	+	2045	RP11-449F7.4
ENSG00000183185.9	chr3	97986673	98035304	-	48632	GABRR3
ENSG00000250750.1	chr3	98053374	98053739	+	366	OR5BM1P
ENSG00000213439.3	chr3	98064472	98065396	+	925	OR5AC1
ENSG00000196578.4	chr3	98087173	98088102	+	930	OR5AC2
ENSG00000249225.1	chr3	98099908	98148134	-	48227	RP11-343D2.11
ENSG00000251090.2	chr3	98100793	98105672	+	4880	OR5AC4P
ENSG00000248365.3	chr3	98119191	98119731	+	541	POU5F1P7
ENSG00000231192.3	chr3	98130721	98138548	+	7828	OR5H1
ENSG00000236032.3	chr3	98147479	98156614	+	9136	OR5H14
ENSG00000233412.5	chr3	98166696	98169774	+	3079	OR5H15
ENSG00000249321.1	chr3	98197211	98198138	+	928	OR5H5P
ENSG00000249975.1	chr3	98207423	98208341	+	919	OR5H3P
ENSG00000248507.1	chr3	98222044	98222966	+	923	OR5H4P
ENSG00000251088.1	chr3	98233651	98457898	+	224248	RP11-325B23.2
ENSG00000187900.4	chr3	98238352	98239281	+	930	OR5H7P
ENSG00000230301.6	chr3	98263252	98265356	+	2105	OR5H6
ENSG00000197938.6	chr3	98282505	98284070	+	1566	OR5H2
ENSG00000232535.2	chr3	98306752	98312843	+	6092	OR5H8
ENSG00000196098.2	chr3	98353854	98354819	+	966	OR5K4
ENSG00000206536.1	chr3	98390666	98391631	+	966	OR5K3
ENSG00000244653.1	chr3	98434034	98434847	+	814	UBFD1P1
ENSG00000232382.2	chr3	98463201	98472924	+	9724	OR5K1
ENSG00000231861.3	chr3	98497681	98498631	+	951	OR5K2
ENSG00000080822.17	chr3	98497912	98523066	-	25155	CLDND1
ENSG00000285635.1	chr3	98521133	98585498	-	64366	RP11-227H4.8
ENSG00000248839.1	chr3	98522570	98525334	+	2765	RP11-227H4.5
ENSG00000250562.1	chr3	98525061	98525274	-	214	RPL38P4
ENSG00000154165.5	chr3	98531978	98534681	+	2704	GPR15
ENSG00000286602.1	chr3	98573061	98578231	-	5171	RP11-227H4.9
ENSG00000080819.9	chr3	98579446	98593648	-	14203	CPOX
ENSG00000240827.1	chr3	98620065	98620618	+	554	RP11-227H4.1
ENSG00000244153.1	chr3	98657802	98660570	+	2769	WWP1P1
ENSG00000239445.6	chr3	98706236	98732757	-	26522	ST3GAL6-AS1
ENSG00000064225.12	chr3	98732236	98821201	+	88966	ST3GAL6
ENSG00000249274.1	chr3	98782188	98783193	+	1006	PDLIM1P4
ENSG00000057019.16	chr3	98795941	98901695	-	105755	DCBLD2
ENSG00000206712.1	chr3	98804978	98805084	-	107	RNU6-26P
ENSG00000239462.1	chr3	98902424	99018562	+	116139	CTD-2021J15.1
ENSG00000207331.1	chr3	98908459	98908564	+	106	RNU6-1263P
ENSG00000240476.1	chr3	98981058	98983096	+	2039	LINC00973
ENSG00000275108.1	chr3	98987387	98987449	+	63	U7
ENSG00000241305.1	chr3	99215224	99216266	-	1043	ACTG1P13
ENSG00000240572.1	chr3	99326377	99326552	-	176	RP11-121C1.1
ENSG00000243296.1	chr3	99500347	99505508	+	5162	RP11-779P15.1
ENSG00000243089.2	chr3	99507187	99529985	-	22799	RP11-779P15.2
ENSG00000244464.2	chr3	99598064	99637308	+	39245	RP11-201E8.1
ENSG00000144810.16	chr3	99638475	99799226	+	160752	COL8A1
ENSG00000273374.1	chr3	99802699	99806058	-	3360	RP11-383I23.2
ENSG00000184220.12	chr3	99817837	100181732	+	363896	CMSS1
ENSG00000168386.19	chr3	99828811	100114513	-	285703	FILIP1L
